headword,words,ner,docSize,sentSize
Limited,[Motor", Cars", Limited],ORGANIZATION,1,2
engineers,[Motor", Cars", Limited", engineers],ORGANIZATION,1,1
Co.,[Motor", Co.],ORGANIZATION,1,4
Company,[Motor", Company],ORGANIZATION,1,12
Company,[Motor", Company],ORGANIZATION,1,1
Headquarters,[Motor", Company", Headquarters],ORGANIZATION,1,1
Corporation,[Motor", Corporation],ORGANIZATION,1,9
Limited,[Motor", Corporation", Limited],ORGANIZATION,1,1
Division,[Motor", Division],ORGANIZATION,1,1
Group,[Motor", Group],ORGANIZATION,1,4
Show,[Motor", Show],O,1,1
Motor.It,[Motor.It],ORGANIZATION,1,1
Motorama,[Motorama],ORGANIZATION,1,1
Motors,[Motors],ORGANIZATION,1,32
Limited,[Motors", Cars", Limited],ORGANIZATION,1,1
Company,[Motors", Company],ORGANIZATION,1,6
Limited,[Motors", Company", Limited],ORGANIZATION,1,1
Corporation,[Motors", Corporation],ORGANIZATION,1,2
Country,[Motors", Country],ORGANIZATION,1,1
LLC,[Motors", LLC],ORGANIZATION,1,2
Limited,[Motors", Limited],ORGANIZATION,1,3
Company,[Motors", Liquidation", Company],ORGANIZATION,1,1
trading,[Motors", Ltd.", trading],ORGANIZATION,1,1
Durant,[Motors", founder", William", C.", Durant],ORGANIZATION,1,1
Motors-Holden,[Motors-Holden],ORGANIZATION,1,1
Ertiga,[Multi", Purpose", vehicle", Suzuki", Ertiga],O,1,1
Mumbai,[Mumbai],LOCATION,1,4
Munich,[Munich],LOCATION,1,1
Musk,[Musk],PERSON,1,2
Mustang,[Mustang],ORGANIZATION,1,3
Mustang,[Mustang],O,1,2
Mustang,[Mustang],PERSON,1,1
Mustang,[Mustang],MISC,1,1
Mustang,[Mustang],MISC,1,1
Mustang,[Mustang],O,1,1
fans,[Mustang", fans],PERSON,1,1
Araripe,[Mário", Araripe],PERSON,1,1
N.V.,[N.V.],ORGANIZATION,1,1
exchange,[NASDAQ", stock", exchange],ORGANIZATION,1,1
NAZ,[NAZ],O,1,1
brands,[NISMO", brands],O,1,1
Nacional,[Nacional],ORGANIZATION,1,1
Nagoya,[Nagoya],LOCATION,1,1
Automobile,[Nanjing", Automobile],LOCATION,1,1
Berhad,[Nasional", Sendirian", Berhad],ORGANIZATION,1,1
Limited,[National", Automobile", Company", Private", Limited],ORGANIZATION,1,1
Sweden,[National", Electric", Vehicle", Sweden],O,1,1
Nedelja,[Nedelja],PERSON,1,1
Road,[Nelson", Mandela", Road],LOCATION,1,1
Wagenbau-Fabriksgesellschaft,[Nesselsdorfer", Wagenbau-Fabriksgesellschaft],ORGANIZATION,1,1
Netherlands,[Netherlands],LOCATION,1,1
Site,[Netherlands", Official", Site],LOCATION,1,2
Netherlands-based,[Netherlands-based],MISC,1,1
Delhi,[New", Delhi],LOCATION,1,2
Assembly,[New", Mack", Assembly],LOCATION,1,1
Exchange,[New", York", Stock", Exchange],ORGANIZATION,1,1
Nishi-ku,[Nishi-ku],MISC,1,2
Nissan,[Nissan],ORGANIZATION,1,7
Alliance,[Nissan", Alliance],ORGANIZATION,1,1
Co.,[Nissan", Motor", Co.],ORGANIZATION,1,1
Company,[Nissan", Motor", Company],ORGANIZATION,1,3
Novgorod,[Nizhny", Novgorod],PERSON,1,3
Noble,[Noble],PERSON,1,3
Noble,[Noble],O,1,1
Noble,[Noble],O,1,2
Noble,[Noble],PERSON,1,1
Ltd.,[Noble", Automotive", Ltd.],ORGANIZATION,1,1
GTO-3Rs,[Noble", GTO-3Rs],O,1,1
Nobles,[Nobles],ORGANIZATION,1,1
Norfolk,[Norfolk],LOCATION,1,2
North,[North],MISC,1,5
North,[North],LOCATION,1,1
North,[North],O,1,1
America,[North", America],LOCATION,1,7
Capital,[North", Street", Capital],O,1,1
Norway,[Norway],LOCATION,1,2
November,[November],DATE,1,5
Nürburgring,[Nürburgring],O,1,1
Bentley,[O.", Bentley],PERSON,1,1
GAZ,[OAO", GAZ],O,1,1
OICA,[OICA],ORGANIZATION,1,1
Oblast,[Oblast],LOCATION,1,1
Oblast,[Oblast],PERSON,1,1
e-cars,[Octavia", Green", E", Line", e-cars],O,1,1
October,[October],DATE,1,2
Site,[Official", Site],O,1,108
Site,[Official", Site],ORGANIZATION,1,1
Site,[Official", Site],ORGANIZATION,1,1
Ohio,[Ohio],LOCATION,1,2
Deripaska,[Oleg", Deripaska],PERSON,1,1
Omni,[Omni],ORGANIZATION,1,1
One,[One],NUMBER,1,4
Opel,[Opel],ORGANIZATION,1,3
Opel,[Opel],O,1,1
AG,[Opel", AG],PERSON,1,1
AG,[Opel", AG],ORGANIZATION,1,1
Opel-branded,[Opel-branded],MISC,1,1
Operational,[Operational],O,1,1
Orsi,[Orsi],PERSON,1,1
Osaka,[Osaka],LOCATION,1,1
Oslo,[Oslo],LOCATION,1,1
Other,[Other],O,1,1
Berhad,[Otomobil", Kedua", Sendirian", Berhad],ORGANIZATION,1,1
Berhad,[Otomobil", Nasional", Sendirian", Berhad],ORGANIZATION,1,1
Otosan,[Otosan],ORGANIZATION,1,1
Owner,[Owner],O,1,88
Pastor,[P.", Pastor],O,1,1
PLC,[PLC],ORGANIZATION,1,1
PROTON,[PROTON],O,1,1
PS,[PS],O,1,1
PS,[PS],O,1,1
PSA,[PSA],ORGANIZATION,1,1
Citroen,[PSA", Peugeot", Citroen],ORGANIZATION,1,1
Citroën,[PSA", Peugeot", Citroën],ORGANIZATION,1,1
Inc,[Paccar", Inc],ORGANIZATION,1,1
Pagani,[Pagani],PERSON,1,3
Pagani,[Pagani],PERSON,1,1
S.p.A.,[Pagani", Automobili", S.p.A.],ORGANIZATION,1,1
R,[Pagani", Zonda", R],O,1,1
Palau,[Palau],LOCATION,1,2
Pastor,[Pallanca", Pastor],PERSON,1,1
Alto,[Palo", Alto],LOCATION,1,1
Panaro,[Panaro],PERSON,1,2
Panoz,[Panoz],PERSON,1,2
Panoz,[Panoz],O,1,1
Panoz,[Panoz],PERSON,1,2
Development,[Panoz", Auto", Development],ORGANIZATION,1,1
Esperante,[Panoz", Esperante],PERSON,1,1
Roadster,[Panoz", Roadster],O,1,1
products,[Panoz", products],PERSON,1,1
cars,[Panoz", road", cars],O,1,1
Panoz-owned,[Panoz-owned],LOCATION,1,1
Park,[Park],ORGANIZATION,1,1
Pastor,[Pastor],PERSON,1,1
Pastor,[Pastor],O,1,1
Paulo,[Paulo],LOCATION,1,1
People,[People],O,1,1
Perak,[Perak],LOCATION,1,1
Performance,[Performance],O,1,1
Engineering,[Performance", Engineering],ORGANIZATION,1,1
Perodua,[Perodua],ORGANIZATION,1,3
Kancil,[Perodua", Kancil],ORGANIZATION,1,1
Berhad,[Perusahaan", Otomobil", Kedua", Sendirian", Berhad],ORGANIZATION,1,1
Berhad,[Perusahaan", Otomobil", Nasional", Sendirian", Berhad],ORGANIZATION,1,1
Peugeot,[Peugeot],ORGANIZATION,1,5
Citroen,[Peugeot", Citroen],ORGANIZATION,1,1
Citroën,[Peugeot", Citroën],ORGANIZATION,1,1
S.A.,[Peugeot", S.A.],ORGANIZATION,1,1
Pfaffenhausen,[Pfaffenhausen],PERSON,1,1
Piaggio,[Piaggio],ORGANIZATION,1,4
Piaggio,[Piaggio],O,1,1
Piaggio,[Piaggio],ORGANIZATION,1,1
Piaggio,[Piaggio],PERSON,1,1
Pininfarina,[Pininfarina],ORGANIZATION,1,4
Extra,[Pininfarina", Extra],ORGANIZATION,1,1
S.p.A.,[Pininfarina", S.p.A.],ORGANIZATION,1,1
Plant,[Plant],ORGANIZATION,1,1
Plant,[Plant],LOCATION,1,1
cluster,[Pleiades", star", cluster],ORGANIZATION,1,1
Plymouth,[Plymouth],LOCATION,1,1
Barracuda,[Plymouth", Barracuda],ORGANIZATION,1,1
Poiraud,[Poiraud],PERSON,1,1
Poland,[Poland],LOCATION,1,1
Site,[Poland", Official", Site],LOCATION,1,1
Policy,[Policy],O,1,1
Polish,[Polish],MISC,1,1
Pontedera,[Pontedera],LOCATION,1,2
Pontiac,[Pontiac],LOCATION,1,1
Firebird,[Pontiac", Firebird],ORGANIZATION,1,1
Porsche,[Porsche],ORGANIZATION,1,1
Porsche,[Porsche],O,1,1
SE,[Porsche", SE],O,1,1
cars,[Porsche", cars],ORGANIZATION,1,1
chassis,[Porsche", chassis],ORGANIZATION,1,1
enhancements,[Porsche", performance", enhancements],ORGANIZATION,1,1
family,[Porsche-Piëch", family],PERSON,1,1
Melbourne,[Port", Melbourne],LOCATION,1,2
Portugal,[Portugal],LOCATION,1,1
Posts,[Posts],O,1,1
Power,[Power],ORGANIZATION,1,1
Prefecture,[Prefecture],LOCATION,1,1
Policy,[Privacy", Policy],O,1,1
titles.The,[Prix", titles.The],MISC,1,1
Richards,[Prodrive", boss", David", Richards],O,1,1
Production,[Production],O,1,3
Promotional,[Promotional],O,1,1
Proton,[Proton],ORGANIZATION,1,5
Berhad,[Proton", Holdings", Berhad],ORGANIZATION,1,1
automobile,[Präsident", automobile],O,1,1
Ltd,[Pty", Ltd],ORGANIZATION,1,1
Ertiga,[Purpose", vehicle", Suzuki", Ertiga],O,1,1
Putin,[Putin],PERSON,1,1
Q1,[Q1],O,1,1
Q30,[Q30],O,1,1
crossover,[QX60", crossover],O,1,1
R,[R],O,1,2
R,[R],PERSON,1,1
Headquarters,[R.", Headquarters],PERSON,1,1
Hethel,[RAF", Hethel],ORGANIZATION,1,1
REVA,[REVA],ORGANIZATION,1,1
REVA,[REVA],O,1,1
REVAi,[REVAi],MISC,1,1
BRZ,[RWD", BRZ],O,1,1
Rally,[Rally],LOCATION,1,1
Rally,[Rally],O,1,1
races,[Rally", Championship", races],MISC,1,1
titles,[Rally", Championship", titles],MISC,1,1
brands,[Ram", brands],O,1,1
Raptors,[Raptors],ORGANIZATION,1,1
Recent,[Recent],O,1,1
Renault,[Renault],ORGANIZATION,1,6
model,[Renault", Clio", III", model],O,1,1
Alliance,[Renault-Nissan", Alliance],ORGANIZATION,1,1
Report,[Report],O,1,1
Republic,[Republic],LOCATION,1,2
Site,[Republic", Official", Site],LOCATION,1,2
Reva,[Reva],PERSON,1,1
Limited,[Reva", Electric", Vehicles", Private", Limited],ORGANIZATION,1,1
Rho,[Rho],O,1,2
Richards,[Richards],PERSON,1,3
Richland,[Richland],LOCATION,1,2
Ride,[Ride],O,1,1
Rimac,[Rimac],O,1,1
Automobili,[Rimac", Automobili],PERSON,1,2
Automobili,[Rimac", Automobili],O,1,1
Automobili,[Rimac", Automobili],ORGANIZATION,1,1
Piaggio,[Rinaldo", Piaggio],PERSON,1,1
Ritz,[Ritz],ORGANIZATION,1,1
Beach,[Riviera", Beach],LOCATION,1,1
Road,[Road],O,1,1
Road,[Road],LOCATION,1,1
Atlanta,[Road", Atlanta],LOCATION,1,1
Car,[Road", Car],MISC,1,1
Roadster,[Roadster],O,1,1
Roadster,[Roadster],ORGANIZATION,1,1
Roadster,[Roadster],O,1,1
Koumans,[Robert", Koumans],PERSON,1,2
marque,[Roewe", marque],MISC,1,1
Farias,[Rogério", Farias],PERSON,1,1
April,[Rogério", Farias.In", April],O,1,1
Royce,[Rolls", Royce],O,1,3
Rolls-Royce,[Rolls-Royce],ORGANIZATION,1,3
plc,[Rolls-Royce", Holdings", plc],ORGANIZATION,1,1
Limited,[Rolls-Royce", Motor", Cars", Limited],ORGANIZATION,1,2
engineers,[Rolls-Royce", Motor", Cars", Limited", engineers],ORGANIZATION,1,1
Motors,[Rolls-Royce", Motors],ORGANIZATION,1,1
Limited,[Rolls-Royce", Motors", Cars", Limited],ORGANIZATION,1,1
PLC,[Rolls-Royce", PLC],ORGANIZATION,1,1
name,[Rolls-Royce", brand", name],ORGANIZATION,1,1
trademarks,[Rolls-Royce", grill", shape", trademarks],ORGANIZATION,1,2
name,[Rolls-Royce", name],ORGANIZATION,1,1
Romania,[Romania],LOCATION,1,3
Site,[Romania", Official", Site],LOCATION,1,1
Romanian,[Romanian],MISC,1,1
Romeo,[Romeo],PERSON,1,2
engine,[Romeo", V6", engine],O,1,1
Q1,[Rossion", Q1],O,1,1
Rover,[Rover],ORGANIZATION,1,4
Rover,[Rover],O,1,1
Rover,[Rover],O,1,1
Rover,[Rover],O,1,1
Rover,[Rover],O,1,1
Rover,[Rover],O,1,1
Rover,[Rover],ORGANIZATION,1,1
Company,[Rover", Company],ORGANIZATION,1,1
V8,[Rover", V8],O,1,1
brand,[Rover", brand],MISC,1,1
technology,[Rover", technology],O,1,1
vehicles,[Rover", vehicles],O,1,1
holder,[Royal", Warrant", holder],ORGANIZATION,1,1
Royce,[Royce],O,1,2
Ruf,[Ruf],ORGANIZATION,1,1
Ruf,[Ruf],PERSON,1,1
Ruf,[Ruf],PERSON,1,1
Ruf,[Ruf],PERSON,1,1
Ruf,[Ruf],O,1,1
Automobile,[Ruf", Automobile],O,1,1
GmbH,[Ruf", Automobile", GmbH],ORGANIZATION,1,1
vehicles,[Ruf", vehicles],O,1,1
Ruf-made,[Ruf-made],MISC,1,1
Russia,[Russia],LOCATION,1,7
Site,[Russia", Official", Site],LOCATION,1,2
Russian,[Russian],ORGANIZATION,1,1
Russian,[Russian],MISC,1,1
Russian,[Russian],MISC,1,1
Russian,[Russian],MISC,1,1
Russian,[Russian],MISC,1,1
Rüsselsheim,[Rüsselsheim],LOCATION,1,2
Rüsselsheim,[Rüsselsheim],O,1,1
S,[S],O,1,1
S.A.,[S.A.],ORGANIZATION,1,1
S.A.,[S.A.],O,1,1
S.A.,[S.A.],O,1,1
S.p.A.,[S.p.A.],ORGANIZATION,1,8
S.p.A.Chrysler,[S.p.A.Chrysler],O,1,1
S/A,[S/A],O,1,1
SAIC,[SAIC],ORGANIZATION,1,1
Limited,[SAIC", Motor", Corporation", Limited],ORGANIZATION,1,1
SE,[SE],O,1,1
SEAT,[SEAT],O,1,3
Group,[SEAT", Group],ORGANIZATION,1,1
brand,[SEAT", brand],O,1,1
SKF,[SKF],ORGANIZATION,1,1
AB,[SKF", AB],ORGANIZATION,1,1
SP/300,[SP/300],O,1,1
SRT,[SRT],O,1,2
Viper,[SRT", Viper],O,1,1
SSC,[SSC],O,1,1
Aero,[SSC", Aero],ORGANIZATION,1,1
America,[SSC", North", America],O,1,1
Tuatara,[SSC", Tuatara],O,1,1
SUV,[SUV],O,1,1
manufacturer,[SUV", manufacturer],O,1,1
SUVs,[SUVs],O,1,4
SX4,[SX4],O,1,1
Saab,[Saab],ORGANIZATION,1,4
Saab,[Saab],O,1,1
Saab,[Saab],ORGANIZATION,1,1
AB,[Saab", AB],ORGANIZATION,1,1
AB,[Saab", Automobile", AB],ORGANIZATION,1,1
Saint-Ouen,[Saint-Ouen],O,1,1
Oblast,[Samara", Oblast],LOCATION,1,1
Oblast,[Samara", Oblast],PERSON,1,1
Panaro,[San", Cesario", sul", Panaro],LOCATION,1,1
Panaro,[San", Cesario", sul", Panaro],PERSON,1,1
Sant,[Sant],PERSON,1,1
Eulalia,[Santa", Eulalia],LOCATION,1,2
Sanyi,[Sanyi],LOCATION,1,1
Sanyi,[Sanyi],PERSON,1,1
Savoie,[Savoie],PERSON,1,2
Scaglietti,[Scaglietti],O,1,1
Scandal,[Scandal],O,1,1
Scania,[Scania],O,1,1
Scania,[Scania],ORGANIZATION,1,1
Aktiebolag,[Scania", Aktiebolag],ORGANIZATION,1,1
Scania-Vabis,[Scania-Vabis],O,1,1
Schustala,[Schustala],ORGANIZATION,1,1
Scion,[Scion],O,1,3
lineup,[Scion", lineup],O,1,1
marque,[Scion", marque],O,1,1
models,[Scion", models],O,1,1
name,[Scion", name],MISC,1,1
Scott,[Scott],PERSON,1,1
Seat,[Seat],O,1,1
Seat,[Seat],ORGANIZATION,1,1
Second,[Second],ORDINAL,1,1
Selangor,[Selangor],LOCATION,1,3
Berhad,[Sendirian", Berhad],ORGANIZATION,1,2
Seoul,[Seoul],LOCATION,1,1
September,[September],DATE,1,4
Serendah,[Serendah],PERSON,1,1
Marchionne,[Sergio", Marchionne],PERSON,1,1
Series,[Series],O,1,1
Services,[Services],ORGANIZATION,1,1
Bank,[Services", Bank],ORGANIZATION,1,1
Seven,[Seven],NUMBER,1,2
Seven,[Seven],NUMBER,1,1
Several,[Several],O,1,1
Alam,[Shah", Alam],PERSON,1,2
Shelby,[Shelby],O,1,2
Shelby,[Shelby],PERSON,1,1
Shelby,[Shelby],PERSON,1,1
American,[Shelby", American],MISC,1,1
Automotive,[Shelby", Automotive],ORGANIZATION,1,1
SuperCars,[Shelby", SuperCars],O,1,1
Inc.,[Shelby", SuperCars", Inc.],ORGANIZATION,1,1
Shinjuku,[Shinjuku],LOCATION,1,1
Shizuoka,[Shizuoka],LOCATION,1,1
Show,[Show],O,1,1
Showcase,[Showcase],O,1,1
Sisters,[Sisters],MISC,1,1
Site,[Site],O,1,108
Skoda,[Skoda],O,1,1
Skoda,[Skoda],ORGANIZATION,1,1
Slovakia,[Slovakia],LOCATION,1,1
Smart,[Smart],O,1,5
models,[Smart", models],O,1,1
Española,[Sociedad", Española],ORGANIZATION,1,1
JSC,[Sollers", JSC],ORGANIZATION,1,1
AS,[Solutions", AS],ORGANIZATION,1,1
AS,[Solutions", AS],O,1,1
South,[South],MISC,1,1
America,[South", America],LOCATION,1,1
Korea,[South", Korea],LOCATION,1,3
Site,[South", Korea", Official", Site],LOCATION,1,2
Soviet,[Soviet],MISC,1,5
Soviet,[Soviet],MISC,1,1
Union,[Soviet", Union],LOCATION,1,1
SpA,[SpA],ORGANIZATION,1,2
Spain,[Spain],LOCATION,1,5
Site,[Spain", Official", Site],LOCATION,1,1
Spanish,[Spanish],MISC,1,2
Company,[Spanish", Touring", Car", Company],MISC,1,1
Spirit,[Spirit],O,1,2
Sport,[Sport],ORGANIZATION,1,3
Ltd,[Sports", Cars", Pty", Ltd],ORGANIZATION,1,1
Vitara,[Sports", Utility", vehicle", Grand", Vitara],O,1,1
GmbH,[Sportwagenmanufaktur", GmbH],ORGANIZATION,1,1
Spyker,[Spyker],O,1,3
Spyker,[Spyker],O,1,1
Cars,[Spyker", Cars],ORGANIZATION,1,1
Cars,[Spyker", Cars],O,1,1
N.V.,[Spyker", N.V.],ORGANIZATION,1,1
company,[Spyker", company],MISC,1,1
SsangYong,[SsangYong],ORGANIZATION,1,3
Motor,[SsangYong", Motor],ORGANIZATION,1,1
Company,[SsangYong", Motor", Company],ORGANIZATION,1,1
Ives,[St", Ives],LOCATION,1,1
Louis,[St.", Louis],LOCATION,1,1
Morgan,[Stanley", Morgan", Morgan],ORGANIZATION,1,1
States,[States],LOCATION,1,7
Army,[States", Army],ORGANIZATION,1,1
Site,[States", Official", Site],LOCATION,1,4
Site,[States", Official", Site],O,1,1
Site,[States", Official", Site],O,1,1
States-based,[States-based],ORGANIZATION,1,1
Steel,[Steel],ORGANIZATION,1,1
Exchange,[Stock", Exchange],ORGANIZATION,1,1
Capital,[Street", Capital],O,1,1
Study,[Study],O,1,1
Stuttgart,[Stuttgart],LOCATION,1,5
Subaru,[Subaru],ORGANIZATION,1,4
Subaru,[Subaru],O,1,1
Subaru,[Subaru],PERSON,1,1
logo,[Subaru", logo],ORGANIZATION,1,1
vehicles,[Subaru", vehicles],ORGANIZATION,1,1
Sunderland,[Sunderland],LOCATION,1,1
Sport,[Super", Sport],ORGANIZATION,1,1
Inc.,[SuperCars", Inc.],ORGANIZATION,1,1
Superbs,[Superbs],O,1,1
Surrey,[Surrey],ORGANIZATION,1,1
Surrey,[Surrey],LOCATION,1,1
Surrey,[Surrey],LOCATION,1,1
Sussex,[Sussex],ORGANIZATION,1,2
Sussex,[Sussex],LOCATION,1,1
Suzuki,[Suzuki],PERSON,1,4
Suzuki,[Suzuki],O,1,1
Suzuki,[Suzuki],ORGANIZATION,1,1
Suzuki,[Suzuki],PERSON,1,1
Ertiga,[Suzuki", Ertiga],PERSON,1,1
Limited,[Suzuki", India", Limited],ORGANIZATION,1,1
Corporation,[Suzuki", Motor", Corporation],ORGANIZATION,1,1
Suzuki.As,[Suzuki.As],O,1,1
Nedelja,[Sveta", Nedelja],PERSON,1,1
Swatch,[Swatch],O,1,1
Sweden,[Sweden],LOCATION,1,5
Sweden,[Sweden],O,1,1
Site,[Sweden", Official", Site],LOCATION,1,4
Swedish,[Swedish],MISC,1,6
Automobile,[Swedish", Automobile],O,1,1
Swift,[Swift],PERSON,1,1
Sydney,[Sydney],LOCATION,1,1
Paulo,[São", Paulo],LOCATION,1,1
Södertälje,[Södertälje],LOCATION,1,1
Södertälje,[Södertälje],PERSON,1,1
Headquarters,[T.", Headquarters],O,1,1
T4,[T4],O,1,1
T4s,[T4s],O,1,1
TCS,[TCS],O,1,1
brand,[TH!NK", brand],O,1,1
TSLA,[TSLA],ORGANIZATION,1,1
TVR,[TVR],ORGANIZATION,1,2
TVR,[TVR],O,1,1
cars,[TVR", sports", cars],ORGANIZATION,1,1
TVR-built,[TVR-built],O,1,1
Taiwan,[Taiwan],LOCATION,1,1
Site,[Taiwan", Official", Site],LOCATION,1,1
Taiwanese,[Taiwanese],MISC,1,1
Hotels,[Taj", Hotels],O,1,1
Talent,[Talent],O,1,1
Tata,[Tata],ORGANIZATION,1,1
Tata,[Tata],O,1,1
Tata,[Tata],O,1,1
Tata,[Tata],ORGANIZATION,1,1
Chemicals,[Tata", Chemicals],ORGANIZATION,1,1
Communications,[Tata", Communications],ORGANIZATION,1,1
Services,[Tata", Consultancy", Services],ORGANIZATION,1,1
Beverages,[Tata", Global", Beverages],ORGANIZATION,1,1
Group,[Tata", Group],ORGANIZATION,1,3
Motors,[Tata", Motors],ORGANIZATION,1,5
Country,[Tata", Motors", Country],ORGANIZATION,1,1
Power,[Tata", Power],ORGANIZATION,1,1
Steel,[Tata", Steel],ORGANIZATION,1,1
Teleservices,[Tata", Teleservices],ORGANIZATION,1,1
companies,[Tata", companies],ORGANIZATION,1,2
Tatra,[Tatra],ORGANIZATION,1,5
Tatra,[Tatra],O,1,1
badge,[Tatra", badge],ORGANIZATION,1,1
mountains,[Tatra", mountains],ORGANIZATION,1,1
Teleservices,[Teleservices],ORGANIZATION,1,1
frazione,[Terrazzano", frazione],O,1,1
Tesla,[Tesla],PERSON,1,3
Tesla,[Tesla],O,1,1
Tesla,[Tesla],PERSON,1,1
Motors,[Tesla", Motors],ORGANIZATION,1,3
Roadster,[Tesla", Roadster],ORGANIZATION,1,1
Texas,[Texas],LOCATION,1,1
City,[Th!nk", City],O,1,1
Thailand,[Thailand],LOCATION,1,1
Thailand,[Thailand],LOCATION,1,1
Ditton,[Thames", Ditton],PERSON,1,1
Three,[Three],NUMBER,1,1
Thuringia,[Thuringia],LOCATION,1,1
Industries,[Titan", Industries],ORGANIZATION,1,1
Tochigi,[Tochigi],LOCATION,1,1
Today,[Today],DATE,1,2
AG,[Tognum", AG],ORGANIZATION,1,1
Tokyo,[Tokyo],LOCATION,1,7
Toledo,[Toledo],LOCATION,1,1
Tolyatti,[Tolyatti],LOCATION,1,1
Fernandes,[Tony", Fernandes],PERSON,1,1
Gillet,[Tony", Gillet],PERSON,1,1
Hypercar,[Top", Gear", Hypercar],O,1,1
Torrance,[Torrance],LOCATION,1,3
Championship,[Touring", Car", Championship],MISC,1,1
Company,[Touring", Car", Company],MISC,1,1
Tourisme,[Tourisme],MISC,1,1
Toyota,[Toyota],ORGANIZATION,1,8
Toyota,[Toyota],O,1,1
Celica,[Toyota", Celica],MISC,1,1
Group,[Toyota", Group],ORGANIZATION,1,2
Corporation,[Toyota", Motor", Corporation],ORGANIZATION,1,6
Ushers,[Toyota", Ushers],O,1,1
Tramontana,[Tramontana],PERSON,1,3
Tramontana,[Tramontana],PERSON,1,1
Tramontana,[Tramontana],PERSON,1,1
Headquarters,[Tramontana", R.", Headquarters],PERSON,1,1
Trillion,[Trillion],NUMBER,1,1
Triumph,[Triumph],O,1,1
Troller,[Troller],O,1,4
Troller,[Troller],MISC,1,1
T4,[Troller", T4],O,1,1
S/A,[Troller", Veículos", Especiais", S/A],O,1,1
company,[Troller", company],MISC,1,1
Trollhättan,[Trollhättan],O,1,1
Report,[Trust", Report],O,1,1
Bank,[Trustee", Services", Bank],ORGANIZATION,1,1
Tuatara,[Tuatara],O,1,1
Turbodiesel,[Turbodiesel],O,1,1
Turismo,[Turismo],ORGANIZATION,1,1
Turkey,[Turkey],LOCATION,1,2
Site,[U.S.", Official", Site],LOCATION,1,7
launch,[U.S.", launch],LOCATION,1,1
sales,[U.S.", sales],LOCATION,1,1
U.S.-based,[U.S.-based],ORGANIZATION,1,1
UAZ,[UAZ],ORGANIZATION,1,1
UAZ,[UAZ],O,1,1
factory,[UAZ", factory],ORGANIZATION,1,1
UK,[UK],LOCATION,1,3
UK,[UK],LOCATION,1,1
Site,[UK", Official", Site],LOCATION,1,1
Corporation,[UMW", Corporation],ORGANIZATION,1,1
US,[US],LOCATION,1,2
Site,[US", Official", Site],LOCATION,1,2
rights,[US", distribution", rights],LOCATION,1,1
USA,[USA],LOCATION,1,2
Site,[USA", Official", Site],ORGANIZATION,1,1
Site,[USA", Official", Site],LOCATION,1,1
Site,[USA", Official", Site],LOCATION,1,1
Site,[USA", Official", Site],LOCATION,1,1
car,[USA", car],LOCATION,1,1
USD,[USD],O,1,1
Limited,[Udyog", Limited],ORGANIZATION,1,1
Zagato,[Ugo", Zagato],PERSON,1,1
UkrAVTO,[UkrAVTO],O,1,1
Ukraine,[Ukraine],LOCATION,1,1
Site,[Ukraine", Official", Site],LOCATION,1,1
Ulsan,[Ulsan],LOCATION,1,1
Aero,[Ultimate", Aero],O,1,1
Aero,[Ultimate", Aero],ORGANIZATION,1,1
Ulyanovsk,[Ulyanovsk],LOCATION,1,2
Union,[Union],LOCATION,1,1
United,[United],ORGANIZATION,1,1
Kingdom,[United", Kingdom],LOCATION,1,5
Site,[United", Kingdom", Official", Site],ORGANIZATION,1,1
Site,[United", Kingdom", Official", Site],LOCATION,1,1
Site,[United", Kingdom", Official", Site],LOCATION,1,1
Site,[United", Kingdom", Official", Site],O,1,1
Site,[United", Kingdom", Official", Site],O,1,1
Site,[United", Kingdom", Official", Site],LOCATION,1,1
Site,[United", Kingdom", Official", Site],LOCATION,1,1
Site,[United", Kingdom", Official", Site],LOCATION,1,1
States,[United", States],LOCATION,1,7
Army,[United", States", Army],ORGANIZATION,1,1
Site,[United", States", Official", Site],LOCATION,1,4
Site,[United", States", Official", Site],O,1,1
Vitara,[Utility", vehicle", Grand", Vitara],O,1,1
V10,[V10],O,1,1
engine,[V12", engine],O,1,1
engine,[V6", engine],O,1,1
V8,[V8],O,1,4
V8,[V8],O,1,1
V8s,[V8s],O,1,1
Brink,[Van", den", Brink],O,1,1
Vandenbrink,[Vandenbrink],O,1,1
Design,[Vandenbrink", Design],O,1,2
Convertible,[Vandenbrink", GT", Convertible],ORGANIZATION,1,1
Vauxhall,[Vauxhall],ORGANIZATION,1,4
Vauxhall,[Vauxhall],O,1,1
Vauxhall,[Vauxhall],MISC,1,1
Motors,[Vauxhall", Motors],ORGANIZATION,1,1
brand,[Vauxhall", brand],O,1,1
brand,[Vauxhall", brand],ORGANIZATION,1,1
marque,[Vauxhall", marque],O,1,1
products,[Vauxhall", products],ORGANIZATION,1,1
Vector,[Vector],O,1,1
Motors,[Vector", Motors],ORGANIZATION,1,1
Corporation,[Vector", Motors", Corporation],ORGANIZATION,1,1
Force,[Vehicle", Design", Force],O,1,1
Sweden,[Vehicle", Sweden],O,1,1
production,[Vehicle", production],O,1,1
Limited,[Vehicles", Private", Limited],ORGANIZATION,1,1
Venturi,[Venturi],PERSON,1,4
Venturi,[Venturi],PERSON,1,1
Automobiles,[Venturi", Automobiles],ORGANIZATION,1,1
Vertigo,[Vertigo],O,1,1
Vertigo,[Vertigo],O,1,1
